Wanda Metropolitano,,
Camp Nou,1957,99354
Municipal de El Plantío,1964,12642
Nuevo Castalia,,
Balaídos,,
Miguel Prieto,,
Gran Canaria,2003,32392
El Requexón,,
San Mamés,2013,53331
Benito Villamarín,1929,60721
Abanca-Riazor,1944,32490
RCDE Stadium,2009,40500
Municipal Carlos Tartiere,2000,30500
Santiago Bernabéu,1947,81044
Reale Arena,1993,39313
Mestalla,1923,49430
La Romareda,1957,33608
Nuevo Lasesarre,,
Ramón de Carranza,1957,20000
Nuevo Arcángel,1993,20989
Martínez Valero,1976,31388
Son Moix,1999,23142
El Sadar,1967,23516
Narcís Sala,1970,6593
Ramón Sánchez-Pizjuán,1958,43883
Paterna,,
José Zorrilla,,
Municipal Reino de León,,
Nou Estadi,,
José Rico Pérez,1974,29500
Las Gaunas,2002,16000
Enrique Roca de Murcia,2006,31179
Municipal de Pasarón,,
El Sardinero,,
Campo de Fútbol de Vallecas,,
Nova Creu Alta,1967,11908
Heliodoro Rodríguez López,1925,22824
Municipal de La Línea,,
Ciudad de Valencia,1969,26354
Pistas del Helmántico,,
Mendizorroza,1924,19840
Nuevo Colombino,2001,21670
Olímpic de Terrassa,1960,11500
Ciudad de Puertollano,2010,6813
La Victoria,2001,12569
Coliseum Alfonso Pérez,1998,16500
A Malata,1993,12043
Nuevo Mirador,1999,7200
Alfredo Di Stéfano,2005,6000
Municipal Alfonso Murube,,
Cerro del Espino,,
Cartagonova,1988,14353
Municipal de Chapín,,
Instalaciones de Lezama,1971,3200
Carlos Belmonte,1960,18000
Las Llanas,,
Municipal de Vilatenim,1986,9000
Camp dEsports,,
Pallafría,,
Municipal de Ipurúa,1947,8164
Nou Estadi de Palamós,1989,3652
Suárez Puerta,,
Multiusos de San Lázaro,,
Romano,1953,14600
El Madrigal,,
Nuevo Vivero,1998,14175
Anxo Carro,1974,7840
Municipal de Butarque,1998,12454
Francisco de la Hera,1996,12000
Juegos Mediterráneos,,
Nuevo Los Pajaritos,1999,8261
Campo de Son Malferit,,
La Rosaleda,1941,30044
Nuevo Los Cármenes,,
El Toralín,2000,8400
Jesús Navas,,
El Alcoraz,1972,9100
Municipal de Montilivi,1970,11200
Stadium Gal,1926,5000
Santo Domingo,1978,5100
El Collao,,
Pedro Escartín,1967,7000
Municipal de Anduva,,
Anexos Santo Domingo,,
Antonio Domínguez,1992,7500
Artunduaga,,
Berazubi,,
Camp de la Morera,,
Campo de fútbol Luis Oliver,,
Campo de Serralta,,
Campo Municipal de Garachico,,
Centro Deportivo Calavera,,
Centro Deportivo Vega de Triana,,
Ciudad Deportiva de Getafe,,
El Astobiza,,
El Bayu,,
El Fornás,,
El Malecón,,
El Mundo del Fútbol,,
El Rosal,,
Estadi Municipal de Capellades,,
Estadio Francisco Gil Cardona,,
Estadio La Devesa,,
Estadio Municipal de Deportes El Mazo,,
Estadio Vivar Téllez,,
Etxezuri,,
Ganzábal,1922,4024
Gobela,,
Hermanos Antuña,1951,4000
Hermanos Llana,,
Instalaciones de Zubieta,,
José del Cuvillo,1972,8600
La Condomina,1924,4600
La Cueva,,
La Florida,,
La Mina,1916,2000
La Veigona,,
Las Callejas,,
Las Tolvas,,
Mallona,,
Manuel Galeano Sánchez,,
Merkatondoa,1928,3500
Mintxeta,,
Municipal de Badalona,2017,4170
Municipal de La Salud,,
Municipal de Loinaz,,
Municipal de Miramar,1952,5000
Municipal de Montilla,1981,5000
Municipal de Villafranca,,
Municipal El Molino,,
Municipal El Molinón-Enrique Castro Quini,1908,30000
Municipal Les Grases,,
Nou Sardenya,1995,4000
Nuevo Ategorri,,
Nuevo Pepico Amat,,
Príncipe Felipe,1977,7000
Silvestre Carrillo,,
Tabira,,
Urbieta,,
Urritxe,,
Valle las Huertas,,
Virgen de las Nieves,2001,6000
