N335AA;1987;BOEING;767-223;Turbo-Fan
N352AA;1988;BOEING;767-323;Turbo-Fan
N319AA;1985;BOEING;767-223;Turbo-Fan
N5FSAA;;;;
N583AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N473AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5FHAA;;;;
N5EGAA;;;;
N219AA;1983;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N3DGAA;;;;
N477AA;1988;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N550AA;1964;HELIO;HST-550;Turbo-Prop
N446AA;1987;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N584AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N504AA;;;;
N4WWAA;;;;
N5BTAA;;;;
N586AA;1991;DOUGLAS;DC-9-82(MD-82);Turbo-Fan
N5ERAA;;;;
N329AA;1987;BOEING;767-223;Turbo-Fan
N320AA;1985;BOEING;767-223;Turbo-Fan
N321AA;1986;BOEING;767-223;Turbo-Fan
N328AA;1986;BOEING;767-223;Turbo-Fan
N332AA;1987;BOEING;767-223;Turbo-Fan
N374AA;1992;BOEING;767-323;Turbo-Fan
N381AA;1956;DOUGLAS;DC-7BF;Reciprocating
N362AA;1988;BOEING;767-323;Turbo-Fan
N353AA;1988;BOEING;767-323;Turbo-Fan
N360AA;1988;BOEING;767-323;Turbo-Fan
N383AA;1972;BEECH;E-90;Turbo-Prop
N342AA;;;;
N336AA;1987;BOEING;767-223;Turbo-Fan
N322AA;1986;BOEING;767-223;Turbo-Fan
N391AA;1995;BOEING;767-323;Turbo-Fan
N339AA;1988;BOEING;767-223;Turbo-Fan
N323AA;;BOEING;767-223;Turbo-Fan
N325AA;1986;BOEING;767-223;Turbo-Fan
N338AA;1987;BOEING;767-223;Turbo-Fan
N327AA;1986;BOEING;767-223;Turbo-Fan
N376AA;1978;PIPER;PA-32RT-300;Reciprocating
N371AA;1992;BOEING;767-323;Turbo-Fan
N5CKAA;;;;
N5CNAA;;;;
N5EKAA;;;;
N5DFAA;;;;
N5FDAA;;;;
N5DJAA;;;;
N5ECAA;;;;
N7AHAA;;;;
N7ARAA;;;;
N7ABAA;;;;
N375AA;1974;AERO COMMANDER;690A;Turbo-Prop
N382AA;;AERO COMMANDER;1121;Turbo-Jet
N3DAAA;;;;
N3DLAA;;;;
N3AKAA;;;;
N379AA;1993;BOEING;767-323;Turbo-Fan
N380AA;;AEROSPATIALE;AS 355F1;Turbo-Shaft
N385AA;;;;
N7ALAA;;;;
N7BTAA;;;;
N348AA;;SIKORSKY;S-76A;Turbo-Shaft
N399AA;;;;
N5EVAA;;;;
N5EWAA;;;;
N324AA;1986;BOEING;767-223;Turbo-Fan
N398AA;;;;
N356AA;;;;
N372AA;1992;BOEING;767-323;Turbo-Fan
N3DCAA;;;;
N3DHAA;;;;
N3BMAA;;;;
N354AA;1988;BOEING;767-323;Turbo-Fan
N377AA;;LEBLANC GLENN T;FALCON XP;Reciprocating
N3CYAA;;;;
N5ELAA;;;;
N621AA;1975;CESSNA;172M;4 Cycle
N5CSAA;;;;
N4YNAA;;;;
N592AA;1991;DOUGLAS;DC-9-83(MD-83);Turbo-Fan
